epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.368,1.7401,2.29021,1.77501,0.42402,0.33916,0.29951,0.10391,2.30989,2.30675,2.20512,0.000665786,0.000665786,0.000665786
2,348.284,1.7955,1.98675,1.83721,0.44688,0.35591,0.33979,0.13752,2.10307,2.17089,2.05949,0.00124451,0.00124451,0.00124451
3,508.304,1.76682,1.91977,1.81009,0.49111,0.41646,0.40076,0.16796,2.15699,2.07886,2.03507,0.00173524,0.00173524,0.00173524
4,664.08,1.71535,1.8187,1.77332,0.56638,0.46596,0.47323,0.2014,1.98953,1.85305,1.91851,0.001604,0.001604,0.001604
5,830.669,1.67373,1.74651,1.73451,0.60258,0.43725,0.4826,0.21316,1.89227,1.92574,1.86449,0.001472,0.001472,0.001472
6,983.363,1.73195,1.67274,1.81328,0.60098,0.49816,0.53797,0.25697,1.82661,1.68567,1.77641,0.00134,0.00134,0.00134
7,1123.28,1.68822,1.58339,1.78357,0.67251,0.49769,0.57444,0.27234,1.84796,1.56174,1.76263,0.001208,0.001208,0.001208
8,1261.6,1.65219,1.52519,1.7531,0.64689,0.54414,0.58933,0.28547,1.78178,1.57216,1.73373,0.001076,0.001076,0.001076
9,1404.44,1.61371,1.45541,1.72023,0.70882,0.52414,0.60982,0.30449,1.78534,1.48311,1.73601,0.000944,0.000944,0.000944
10,1540.73,1.5941,1.40186,1.70029,0.72909,0.5324,0.62191,0.30716,1.81678,1.45642,1.7434,0.000812,0.000812,0.000812
11,1677.77,1.55643,1.35764,1.67208,0.70026,0.55723,0.61917,0.31204,1.7332,1.44484,1.6864,0.00068,0.00068,0.00068
12,1814.46,1.52995,1.3102,1.64929,0.71059,0.56238,0.64039,0.32577,1.69074,1.42085,1.64477,0.000548,0.000548,0.000548
13,1951.31,1.49298,1.2681,1.61532,0.7367,0.57159,0.65985,0.34878,1.70241,1.32999,1.64182,0.000416,0.000416,0.000416
14,2101.35,1.46053,1.22543,1.58915,0.75786,0.57067,0.66612,0.35665,1.6712,1.30349,1.61925,0.000284,0.000284,0.000284
15,2303.23,1.4343,1.18903,1.57024,0.74834,0.58005,0.67561,0.36167,1.67269,1.29152,1.62198,0.000152,0.000152,0.000152
