epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.96,1.6883,2.9191,1.86707,0.56527,0.4159,0.43548,0.17454,1.93154,2.23438,1.98795,0.00332741,0.00332741,0.00332741
2,743.15,1.67945,2.05112,1.86203,0.48611,0.42022,0.40149,0.15145,2.0824,2.03189,2.16808,0.00662778,0.00662778,0.00662778
3,1092.15,1.75416,1.97714,1.93878,0.46076,0.40817,0.39603,0.14573,2.11667,2.4176,2.31995,0.00989514,0.00989514,0.00989514
4,1438.34,1.79887,2.01243,1.99719,0.50284,0.45179,0.39581,0.15348,2.03644,1.99931,2.20215,0.0098515,0.0098515,0.0098515
5,1793.52,1.7433,1.9141,1.95404,0.57226,0.50522,0.50296,0.21639,1.90991,1.93295,2.07898,0.009802,0.009802,0.009802
6,2133.28,1.70141,1.82921,1.90727,0.59233,0.49679,0.51254,0.2279,1.8901,1.71892,2.00885,0.0097525,0.0097525,0.0097525
7,2474.66,1.67102,1.7767,1.87566,0.61799,0.47129,0.51349,0.22815,1.96989,1.74276,2.07621,0.009703,0.009703,0.009703
8,2816.2,1.65037,1.71399,1.8567,0.60985,0.47175,0.52549,0.23106,1.87744,1.71583,1.98267,0.0096535,0.0096535,0.0096535
9,3169.9,1.62772,1.67457,1.83387,0.65905,0.51196,0.58579,0.27991,1.80448,1.60644,1.92471,0.009604,0.009604,0.009604
10,3510.1,1.61507,1.6519,1.8293,0.6684,0.50448,0.58074,0.28592,1.77218,1.60611,1.89787,0.0095545,0.0095545,0.0095545
11,3890.64,1.59618,1.61685,1.80858,0.68153,0.54623,0.60403,0.29023,1.7807,1.49423,1.91478,0.009505,0.009505,0.009505
12,4244.71,1.58771,1.59324,1.8037,0.67254,0.55208,0.60072,0.29214,1.78951,1.48472,1.90091,0.0094555,0.0094555,0.0094555
13,4578.56,1.56944,1.56616,1.78505,0.69457,0.54987,0.61571,0.30517,1.78818,1.48585,1.91039,0.009406,0.009406,0.009406
14,4916.64,1.56627,1.54475,1.77938,0.70856,0.54675,0.62003,0.31159,1.76018,1.44829,1.88145,0.0093565,0.0093565,0.0093565
15,5250.89,1.5578,1.53416,1.77306,0.72785,0.56206,0.63889,0.32614,1.74127,1.43815,1.87459,0.009307,0.009307,0.009307
16,5589.46,1.54237,1.49829,1.75166,0.71706,0.57133,0.64203,0.32039,1.73903,1.39918,1.85452,0.0092575,0.0092575,0.0092575
17,5927.9,1.54135,1.4918,1.74758,0.72776,0.59181,0.67092,0.34258,1.7108,1.3409,1.81793,0.009208,0.009208,0.009208
